  arc_length_s     gamma_x(s)       gamma_y(s)       gamma_z(s)
  3.320000e+00    3.259890e+00    0.000000e+00    1.042817e+00
  3.340000e+00    3.278797e+00    0.000000e+00    1.049336e+00
  3.360000e+00    3.297692e+00    0.000000e+00    1.055892e+00
  3.380000e+00    3.316574e+00    0.000000e+00    1.062486e+00
  3.400000e+00    3.335442e+00    0.000000e+00    1.069118e+00
  3.420000e+00    3.354297e+00    0.000000e+00    1.075788e+00
  3.440000e+00    3.373139e+00    0.000000e+00    1.082495e+00
  3.460000e+00    3.391967e+00    0.000000e+00    1.089241e+00
  3.480000e+00    3.410782e+00    0.000000e+00    1.096023e+00
  3.500000e+00    3.429583e+00    0.000000e+00    1.102844e+00
  3.520000e+00    3.448371e+00    0.000000e+00    1.109702e+00
  3.540000e+00    3.467144e+00    0.000000e+00    1.116597e+00
  3.560000e+00    3.485904e+00    0.000000e+00    1.123530e+00
  3.580000e+00    3.504650e+00    0.000000e+00    1.130501e+00
  3.600000e+00    3.523382e+00    0.000000e+00    1.137509e+00
  3.620000e+00    3.542100e+00    0.000000e+00    1.144554e+00
  3.640000e+00    3.560804e+00    0.000000e+00    1.151637e+00
  3.660000e+00    3.579494e+00    0.000000e+00    1.158757e+00
  3.680000e+00    3.598169e+00    0.000000e+00    1.165915e+00
  3.700000e+00    3.616830e+00    0.000000e+00    1.173110e+00
  3.720000e+00    3.635476e+00    0.000000e+00    1.180342e+00
  3.740000e+00    3.654108e+00    0.000000e+00    1.187612e+00
  3.760000e+00    3.672726e+00    0.000000e+00    1.194919e+00
  3.780000e+00    3.691329e+00    0.000000e+00    1.202263e+00
  3.800000e+00    3.709917e+00    0.000000e+00    1.209644e+00
  3.820000e+00    3.728490e+00    0.000000e+00    1.217063e+00
  3.840000e+00    3.747049e+00    0.000000e+00    1.224518e+00
  3.860000e+00    3.765592e+00    0.000000e+00    1.232011e+00
  3.880000e+00    3.784120e+00    0.000000e+00    1.239541e+00
  3.900000e+00    3.802634e+00    0.000000e+00    1.247107e+00
  3.920000e+00    3.821132e+00    0.000000e+00    1.254711e+00
  3.940000e+00    3.839615e+00    0.000000e+00    1.262352e+00
  3.960000e+00    3.858083e+00    0.000000e+00    1.270029e+00
  3.980000e+00    3.876535e+00    0.000000e+00    1.277744e+00
  4.000000e+00    3.894972e+00    0.000000e+00    1.285496e+00
  4.020000e+00    3.913393e+00    0.000000e+00    1.293284e+00
  4.040000e+00    3.931798e+00    0.000000e+00    1.301109e+00
