arc_length_s   gamma_x(s)    gamma_y(s)   gamma_z(s)
3.380e-01      -2.469e-01    1.704e-01    3.780e-01
3.400e-01      -2.494e-01    1.667e-01    3.800e-01
3.420e-01      -2.519e-01    1.629e-01    3.820e-01
3.440e-01      -2.543e-01    1.591e-01    3.840e-01
3.460e-01      -2.567e-01    1.553e-01    3.860e-01
3.480e-01      -2.590e-01    1.514e-01    3.880e-01
3.500e-01      -2.612e-01    1.475e-01    3.900e-01
3.520e-01      -2.634e-01    1.436e-01    3.920e-01
3.540e-01      -2.656e-01    1.396e-01    3.940e-01
3.560e-01      -2.676e-01    1.356e-01    3.960e-01
3.580e-01      -2.696e-01    1.315e-01    3.980e-01
3.600e-01      -2.716e-01    1.275e-01    4.000e-01
3.620e-01      -2.735e-01    1.234e-01    4.020e-01
3.640e-01      -2.753e-01    1.193e-01    4.040e-01
3.660e-01      -2.770e-01    1.151e-01    4.060e-01
3.680e-01      -2.787e-01    1.110e-01    4.080e-01
3.700e-01      -2.804e-01    1.068e-01    4.100e-01
3.720e-01      -2.819e-01    1.025e-01    4.120e-01
3.740e-01      -2.834e-01    9.830e-01    4.140e-01
3.760e-01      -2.849e-01    9.400e-01    4.160e-01
3.780e-01      -2.863e-01    8.970e-01    4.180e-01
3.800e-01      -2.876e-01    8.540e-01    4.200e-01
3.820e-01      -2.888e-01    8.110e-01    4.220e-01
3.840e-01      -2.900e-01    7.680e-01    4.240e-01
3.860e-01      -2.911e-01    7.240e-01    4.260e-01
3.880e-01      -2.922e-01    6.800e-01    4.280e-01
3.900e-01      -2.932e-01    6.360e-01    4.300e-01
3.920e-01      -2.941e-01    5.920e-01    4.320e-01
3.940e-01      -2.950e-01    5.480e-01    4.340e-01
3.960e-01      -2.957e-01    5.030e-01    4.360e-01
3.980e-01      -2.965e-01    4.590e-01    4.380e-01
4.000e-01      -2.971e-01    4.140e-01    4.400e-01
4.020e-01      -2.977e-01    3.700e-01    4.420e-01
4.040e-01      -2.982e-01    3.250e-01    4.440e-01
4.060e-01      -2.987e-01    2.800e-01    4.460e-01
4.080e-01      -2.991e-01    2.350e-01    4.480e-01
4.100e-01      -2.994e-01    1.900e-01    4.500e-01
4.120e-01      -2.996e-01    1.450e-01    4.520e-01
4.140e-01      -2.998e-01    1.000e-01    4.540e-01
4.160e-01      -2.999e-01    5.500e-01    4.560e-01
4.180e-01      -3.000e-01    1.000e-01    4.580e-01
4.200e-01      -3.000e-01   -3.500e-02    4.607e-01
4.220e-01      -2.999e-01   -8.000e-02    4.627e-01
4.240e-01      -2.997e-01   -1.250e-02    4.647e-01
4.260e-01      -2.995e-01   -1.700e-02    4.667e-01
4.280e-01      -2.992e-01   -2.150e-02    4.687e-01
4.300e-01      -2.989e-01   -2.600e-02    4.707e-01
4.320e-01      -2.985e-01   -3.040e-02    4.727e-01
4.340e-01      -2.980e-01   -3.490e-02    4.747e-01
4.360e-01      -2.974e-01   -3.940e-02    4.767e-01
4.380e-01      -2.968e-01   -4.390e-02    4.787e-01
4.400e-01      -2.961e-01   -4.830e-02    4.807e-01
4.420e-01      -2.953e-01   -5.270e-02    4.827e-01
4.440e-01      -2.945e-01   -5.720e-02    4.847e-01
4.460e-01      -2.936e-01   -6.160e-02    4.867e-01
4.480e-01      -2.927e-01   -6.600e-02    4.887e-01
4.500e-01      -2.916e-01   -7.040e-02    4.907e-01
4.520e-01      -2.905e-01   -7.470e-02    4.927e-01
4.540e-01      -2.894e-01   -7.910e-02    4.947e-01
4.560e-01      -2.882e-01   -8.340e-02    4.967e-01
4.580e-01      -2.869e-01   -8.780e-02    4.987e-01
4.600e-01      -2.855e-01   -9.200e-02    5.007e-01
4.620e-01      -2.841e-01   -9.630e-02    5.027e-01
4.640e-01      -2.826e-01   -1.006e-01    5.047e-01
4.660e-01      -2.811e-01   -1.048e-01    5.067e-01
4.680e-01      -2.795e-01   -1.090e-01    5.087e-01
4.700e-01      -2.778e-01   -1.132e-01    5.107e-01
4.720e-01      -2.761e-01   -1.174e-01    5.127e-01
4.740e-01      -2.743e-01   -1.215e-01    5.147e-01
4.760e-01      -2.724e-01   -1.256e-01    5.167e-01
4.780e-01      -2.705e-01   -1.297e-01    5.187e-01
4.800e-01      -2.685e-01   -1.337e-01    5.207e-01
4.820e-01      -2.665e-01   -1.377e-01    5.227e-01
4.840e-01      -2.644e-01   -1.417e-01    5.247e-01
4.860e-01      -2.623e-01   -1.457e-01    5.267e-01
4.880e-01      -2.600e-01   -1.496e-01    5.287e-01
4.900e-01      -2.578e-01   -1.535e-01    5.307e-01
4.920e-01      -2.554e-01   -1.573e-01    5.327e-01
4.940e-01      -2.530e-01   -1.612e-01    5.347e-01
4.960e-01      -2.506e-01   -1.649e-01    5.367e-01
4.980e-01      -2.481e-01   -1.687e-01    5.387e-01
5.000e-01      -2.455e-01   -1.724e-01    5.407e-01
5.020e-01      -2.429e-01   -1.761e-01    5.427e-01
5.040e-01      -2.402e-01   -1.797e-01    5.447e-01
5.060e-01      -2.375e-01   -1.833e-01    5.467e-01
5.080e-01      -2.347e-01   -1.868e-01    5.487e-01
5.100e-01      -2.319e-01   -1.903e-01    5.507e-01
5.120e-01      -2.290e-01   -1.938e-01    5.527e-01
5.140e-01      -2.261e-01   -1.972e-01    5.547e-01
5.160e-01      -2.231e-01   -2.006e-01    5.567e-01
5.180e-01      -2.201e-01   -2.039e-01    5.587e-01
5.200e-01      -2.170e-01   -2.072e-01    5.607e-01
5.220e-01      -2.138e-01   -2.104e-01    5.627e-01
5.240e-01      -2.107e-01   -2.136e-01    5.647e-01
5.260e-01      -2.074e-01   -2.167e-01    5.667e-01
5.280e-01      -2.041e-01   -2.198e-01    5.687e-01
5.300e-01      -2.008e-01   -2.229e-01    5.707e-01
5.320e-01      -1.975e-01   -2.259e-01    5.727e-01
5.340e-01      -1.940e-01   -2.288e-01    5.747e-01
5.360e-01      -1.906e-01   -2.317e-01    5.767e-01
5.380e-01      -1.871e-01   -2.345e-01    5.787e-01
5.400e-01      -1.835e-01   -2.373e-01    5.807e-01
5.420e-01      -1.800e-01   -2.400e-01    5.827e-01
5.440e-01      -1.763e-01   -2.427e-01    5.847e-01
5.460e-01      -1.727e-01   -2.453e-01    5.867e-01
5.480e-01      -1.690e-01   -2.479e-01    5.887e-01
5.500e-01      -1.652e-01   -2.504e-01    5.907e-01
5.520e-01      -1.614e-01   -2.529e-01    5.927e-01
5.540e-01      -1.576e-01   -2.552e-01    5.947e-01
5.560e-01      -1.538e-01   -2.576e-01    5.967e-01
5.580e-01      -1.499e-01   -2.599e-01    5.987e-01
5.600e-01      -1.460e-01   -2.621e-01    6.007e-01
5.620e-01      -1.420e-01   -2.643e-01    6.027e-01
5.640e-01      -1.380e-01   -2.664e-01    6.047e-01
5.660e-01      -1.340e-01   -2.684e-01    6.067e-01
5.680e-01      -1.300e-01   -2.704e-01    6.087e-01
5.700e-01      -1.259e-01   -2.723e-01    6.107e-01
